Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,immo_code,postal code
€259000,Lembeke-Dorp 4 Bus 001,3,F,624,0,0,0,280,0,3,1954,To renovate,0,1,0,0,1,Semi equipped,Fuel oil,10643014,9940
€199000,Jonkershovestraat101/H,4,F,541,0,0,0,0,0,0,0,To be done up,0,0,0,No,0,0,0,10643011,8650
€509000,"Antwerpsesteenweg, 88",3,Not specified,Not specified,No,0,48,520,0,3,2019,As new,0,1,0,No,2,Installed,Gas,10643008,3580
€485000,"Avenue des Cerisiers, 212",4,C,150,No,0,5,420,13,2,1940,As new,0,1,1,Yes,2,Hyper equipped,Gas,10643007,1083
€,Hendrik van Veldekesingel 150,4,Not specified,Not specified,No,0,0,1076,14,3,2023,As new,0,1,0,No,2,Hyper equipped,0,10642348,3400
€329000,Rozenkranslaan 114,3,B,108,No,0,20,0,0,3,2010,As new,0,1,0,No,2,Installed,Gas,10264744,3600
€445000,Mechelbaan 445,3,F,553,0,Yes,0,966,0,0,0,0,0,1,0,No,1,Installed,Gas,10642999,2550
€2195000,Korenbloemdreef 1/A,4,Not specified,Not specified,0,0,0,883,0,0,2023,0,0,2,0,No,0,0,0,10642998,8300
€165000,Dokter Honore Dewolfstraat 23,6,G,758,No,0,0,232,0,2,0,To renovate,0,1,0,Yes,2,0,Gas,10642993,7860
€/week,Zeedijk 158,1,B,158,No,0,0,0,0,4,1990,Good,0,1,1,No,1,Installed,0,10642991,8400
€108000,Rozenlaan 4,3,F,777,No,0,0,87,0,2,0,0,0,1,0,0,0,0,0,10620215,8900
€108000,Rozenlaan 4,3,F,777,No,0,0,87,0,2,0,0,0,1,0,0,0,0,0,10379264,8950
€495000,Chaussée de Namur 47,6,C,216,0,0,60,347,30,4,0,To renovate,0,4,0,0,6,0,0,10642986,1435
€495000,De Limburgstirumlaan 21,3,D,358,No,Yes,0,376,0,3,0,Good,0,1,0,0,0,Installed,Gas,10642981,1880
€348000,Kempische Steenweg 398,3,Not specified,Not specified,No,Yes,0,526,0,3,2023,Good,0,1,0,Yes,0,Hyper equipped,Solar,10642980,3720
€525000,Kempische Steenweg 398,2,C,274,No,Yes,0,878,0,4,1995,Good,0,1,0,0,0,0,Gas,10642977,3520
€465000,Bisschopslaan 16,2,B,189,No,Yes,0,1221,45,4,0,0,0,1,0,0,2,Hyper equipped,Gas,10642965,2460
€499000,Schrieksebaan 53B001,3,D,383,No,Yes,0,17656,0,4,1973,Good,0,1,0,Yes,2,Installed,0,10642957,3120
€1199000,Donksesteenweg 212,6,B,199,No,Yes,0,2790,0,0,0,As new,0,2,0,No,3,Installed,Gas,10642946,2970
€495000,Herbert Hooverplein 14,3,B,120,No,0,9,0,0,2,2007,Good,0,2,0,0,0,Hyper equipped,Gas,3360,20
€699000,Avenue Alphonse Allard 288,3,Not specified,Not specified,No,0,0,0,0,3,2021,0,0,2,0,0,0,0,0,1420,27
€340000,Markeplaats 9,4,B,161,0,Yes,0,621,0,0,1967,0,0,0,0,No,0,0,0,10642937,8560
€2395000,Brusselsesteenweg 66,2,B,197,No,0,60,2181,42,4,2008,As new,0,2,3,Yes,4,Hyper equipped,0,10642929,3210
