Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,immo_code,postal code
€,Grote Markt 22,4,C,218,No,0,30,0,0,4,1997,As new,0,1,0,0,2,0,Gas,10666429,2300
€469000,Heidestatiestraat 26,3,D,390,No,Yes,0,760,34,4,0,0,0,1,0,0,2,Installed,0,10666428,2910
€1395000,"Rue de Wavre, 27",5,C,178,0,0,60,6468,50,4,1988,Good,0,2,3,Yes,4,Hyper equipped,Fuel oil,10666426,1301
€285000,Avenue de Longwy 340,2,D,299,0,0,0,0,0,2,0,Good,0,2,0,0,2,Installed,Electric,10666424,6700
€285000,Avenue de Longwy 340,2,D,299,0,0,0,0,0,2,0,Good,0,2,0,0,2,Installed,Electric,10666423,6700
€425000,"Grote steenweg, 511",2,C,254,0,0,4,0,40,0,0,As new,0,1,0,0,0,Installed,0,10666422,2000
€725000,Wichelsesteenweg 109,2,Not specified,Not specified,No,Yes,0,0,0,3,0,Good,0,1,0,0,1,0,0,10666421,9340
€189000,Avenue Louis Libert 1,2,E,346,No,Yes,0,360,32,2,1934,Good,0,1,0,0,0,Semi equipped,Fuel oil,10666419,4460
€399999,Avenue Louis Libert 1,4,C,228,No,Yes,0,1059,44,4,2004,To be done up,0,1,0,Yes,0,Semi equipped,Fuel oil,10666418,4920
€324000,Goedehoopstraat 21,3,C,219,0,Yes,0,65,0,2,0,Good,0,1,0,Yes,3,0,0,10666417,2850
€324000,Goedehoopstraat 21,3,C,219,0,Yes,0,65,0,2,0,Good,0,1,0,Yes,3,0,0,10666416,2850
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10666413,2150
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10666412,2150
€269000,Affligemsestraat 443,3,D,396,0,0,0,115,24,3,0,Good,0,1,0,0,2,0,Gas,10666410,1770
€480000,Route du Condroz 72,4,D,274,No,0,120,2183,16,4,1987,Good,0,2,1,Yes,2,Installed,Electric,8,3
€239000,Grote Baan 170,3,F,684,0,Yes,0,132,33,2,1952,Good,0,1,0,0,0,Hyper equipped,Electric,10666405,9300
€335000,Leo de béthunelaan 8,4,Not specified,Not specified,No,Yes,0,0,0,2,0,0,0,1,0,0,0,Hyper equipped,0,10666403,9300
€215000,Dorpsstraat 84,3,E,487,No,0,0,305,28,2,1946,To renovate,0,1,0,Yes,0,0,0,10666402,2170
€170000,Place Emile Delalieux 1,1,B,106,No,0,8,0,26,0,2018,As new,0,1,1,0,1,Installed,Gas,20,20
€310000,Brusselbaan 110,3,B,155,No,0,8,60,33,2,1930,Good,0,1,0,0,0,Installed,Gas,10666396,9300
€2950000,"Avenue de la Forêt de Soignes, 327",6,D,180,No,0,100,1800,80,4,0,As new,0,4,0,Yes,5,Hyper equipped,0,10666393,1180
€297000,Rondplein 14/2,3,B,199,0,Yes,0,562,28,4,1973,0,0,1,0,Yes,0,Hyper equipped,0,10666390,3970
€395000,Gitschotellei 153-157,3,B,162,No,0,0,161,42,2,0,Just renovated,0,1,0,0,1,0,0,10666385,2100
€125000,Brusselbaan 90,1,F,688,0,0,5,0,25,2,0,Good,0,1,0,0,1,Semi equipped,Gas,10506515,9300
€125000,Brusselbaan 90,1,C,256,0,0,5,0,25,2,0,To be done up,0,1,0,0,0,Semi equipped,Gas,10506513,9300
€125000,Brusselbaan 90,1,F,686,0,0,5,0,25,2,0,Good,0,1,0,0,1,Installed,Gas,10506511,9300
€155000,Brusselbaan 90,2,E,467,0,0,0,0,40,2,0,Good,0,1,0,0,1,Semi equipped,Gas,10506510,9300
€259000,"Capucienenlaan, 1",4,C,238,0,Yes,0,150,32,2,0,0,0,1,0,0,1,USA installed,Gas,10666384,9300
€195000,Rue du Moulin 2,3,B,106,No,0,0,0,35,2,0,As new,0,1,0,0,0,Installed,0,3,20
€395000,"Bld des Déportés, 56 A",1,E,383,0,Yes,0,1330,0,3,0,To be done up,0,1,1,Yes,2,Installed,Pellet,7540,20
€1990000,Chaussée de Waterloo 1382,5,A,31.76,0,0,40,1184,65,4,2018,As new,0,3,1,Yes,5,USA hyper equipped,0,10666382,1180
€595000,Chaussée de Waterloo 1382,3,D,190,No,0,7,0,54,2,1937,Good,0,2,1,Yes,2,Hyper equipped,Fuel oil,10666381,1200
€700000,Voie de L'air Pur 211,3,C,218,0,Yes,0,3190,50,4,1993,As new,0,1,0,Yes,2,Installed,Fuel oil,10666371,4877
€875000,Kempischveldweg 34,5,B,187,0,Yes,0,2146,46,4,1972,Good,0,2,0,Yes,0,USA hyper equipped,Gas,10666368,2930
€1295000,Kempischveldweg 34,5,C,206,No,Yes,0,2710,0,4,1895,As new,0,2,0,Yes,0,Hyper equipped,0,10666367,2180
€314936,Eikenenweg 73/1,3,Not specified,Not specified,0,0,0,442,0,3,0,As new,0,1,0,0,0,0,0,3850,20
€341850,Eikenenweg 73/1,2,Not specified,Not specified,No,0,32,268,0,3,0,As new,0,2,0,0,0,Hyper equipped,0,10666365,3990
€394050,Eikenenweg 73/1,3,Not specified,Not specified,No,0,29,268,0,3,0,As new,0,1,0,0,0,Hyper equipped,0,10666363,3990
€570000,Eikenenweg 73/1,2,Not specified,Not specified,No,0,40,0,0,2,0,As new,0,1,0,0,0,Hyper equipped,0,10666361,3500
€278887,Eikenenweg 73/1,1,Not specified,Not specified,0,0,7,0,0,2,0,0,0,1,0,0,0,0,0,10666360,3500
